formulation,n_gen,horizon,n_var,n_constr,n_nz,n_var_binary,n_var_continuous,n_pwl_segments,build_time_s,lp_relax_time_s,lp_relax_obj,lp_relax_iters,mip_total_time_s,mip_obj,mip_dual_bound,mip_gap,mip_node_count,mip_simplex_iters,converged,status,bnc_time_s,root_lp_gap_pct,seed,error
three_bin_tight,100,72,28800,56942,196092,21600,7200,1,0.526750464000088,1.8692436379999435,29124975.245605927,14046,23.48705654100013,29147693.6925133,29137713.79143152,0.0003423907629558,1,22059,True,kOptimal,21.617812903000186,0.0779425197308376,42,
three_bin_tight,100,72,28800,57026,191944,21600,7200,1,0.5032270239998979,1.7972282729999731,27345619.57320677,13268,29.58334960799993,27366990.51118265,27358281.44366841,0.0003182325623522,1,22840,True,kOptimal,27.78612133499996,0.0780902012851976,59,
perspective,100,72,57600,64142,239292,21600,36000,4,0.8533100419999755,1.7032932750000782,28740299.18650121,14745,40.21456041600004,28761170.548592344,28755277.356664985,0.0002049009763841,1,29680,True,kOptimal,38.51126714099996,0.0725678464854867,42,
perspective,100,72,57600,64226,235144,21600,36000,4,0.8404784930000915,1.931080307000002,26963689.42826137,14807,34.95334051500004,26982372.375479247,26977371.06462448,0.0001853547488402,1,27361,True,kOptimal,33.022260208000034,0.0692413067238675,59,
three_bin,200,24,19200,38448,128035,14400,4800,1,0.3163352120000127,1.2167020229999252,20183921.46139887,8814,14.706322819999968,20200009.71259365,20198540.445356995,7.273596684171044e-05,1,12458,True,kOptimal,13.489620797000043,0.0796447696000481,42,
three_bin,200,24,19200,38448,128122,14400,4800,1,0.3200732959999186,1.3131212630000846,21196445.55116292,8234,14.731541889000027,21216316.64964976,21214105.33200012,0.0001042272174837,1,13229,True,kOptimal,13.418420625999945,0.093659511285492,59,
three_bin_tight,200,24,19200,36880,119790,14400,4800,1,0.2908716980000463,1.170644664000065,20191918.548106875,8556,14.595057642000029,20205817.68296408,20204313.68658933,7.443382882806919e-05,1,11965,True,kOptimal,13.424412977999964,0.0687877871377729,42,
three_bin_tight,200,24,19200,36906,120038,14400,4800,1,0.2932571219998863,1.1270904680000058,21211046.219089955,7871,4.87905180100006,21242116.36296776,21223826.30023602,0.0008610282713459,1,7299,True,kOptimal,3.751961333000054,0.1462667059482189,59,
perspective,200,24,38400,41680,148590,14400,24000,4,0.4952651889998378,1.128376653000032,19922610.858571373,9610,23.2131473689999,19935427.988469195,19934367.113192048,5.321557569570693e-05,1,16813,True,kOptimal,22.084770715999863,0.0642932266376985,42,
perspective,200,24,38400,41706,148838,14400,24000,4,0.4746171110000432,1.072805494000022,20939472.90532423,9477,21.509143101000063,20954700.389818422,20951830.503276333,0.0001369566965265,1,17924,True,kOptimal,20.43633760700004,0.0726685860972423,59,
three_bin,200,72,57600,115344,398659,43200,14400,1,1.327994536999995,4.720228657000007,58066855.49169414,26656,53.34094699100001,58097864.75398537,58089938.28904619,0.0001364329820509,1,36189,True,kOptimal,48.620718334,0.0533741858199756,42,
three_bin,200,72,57600,115344,398650,43200,14400,1,1.3614040100001148,5.5404477469999165,60394479.2133653,25374,43.72253367099984,60438197.6589698,60428699.40873313,0.0001571564110872,1,36264,True,kOptimal,38.18208592399992,0.0723357864693162,59,
three_bin_tight,200,72,57600,113776,390414,43200,14400,1,1.3198502810000718,5.03117268699998,58074809.86996231,26904,50.63976151599991,58104482.248305336,58095898.33476543,0.0001477323815264,1,35210,True,kOptimal,45.60858882899993,0.0510672794849467,42,
three_bin_tight,200,72,57600,113802,0,43200,14400,1,2.02287477099992,6.6459885689999965,60409187.55941534,24805,64.70480439200003,60448408.9092048,60438308.055190176,0.0001670987573848,1,36070,True,Optimal,61.38181010750003,0.0648840068700023,59,
perspective,200,72,115200,128176,0,43200,72000,4,3.709913504000042,6.0206226740000375,57284250.82451653,28641,103.318283115,57325172.21250613,57311419.81463423,0.0002399015535603,1,46679,True,Optimal,100.30797177799997,0.0713846751962753,42,
perspective,200,72,115200,128202,0,43200,72000,4,3.6274923389999003,6.760938366000005,59634347.20121622,29139,99.31131072300013,59684870.50234701,59664148.60363163,0.000347188467378211,1,47821,True,Optimal,95.93084154000013,0.08465009759684373,59,
