formulation,solver,n_gen,horizon,n_var,n_constr,n_var_binary,build_time_s,lp_relax_time_s,lp_relax_obj,mip_total_time_s,mip_obj,mip_node_count,mip_simplex_iters,converged,status,root_lp_gap_pct,presolve,cuts,n_total_intended,fleet_pattern,plateau,symmetry_score,n_gen_actual,fleet_recipe,seed
three_bin,GLPK,8,8,320,1048,0,0.0163219369997023,0.1718648230003054,151822.78427965258,0.1482760440003403,151822.7843,1640,0,True,optimal,1.3402085390998292e-08,False,False,8,sym4,0.0,12.0,8,"[(4, 'baseload_med'), (4, 'midmerit')]",59
three_bin,GLPK,24,8,960,2899,0,0.0474407480000991,1.882561286000055,367041.8219291607,1.845615405999979,367041.8219,11629,0,True,optimal,-7.944789285998845e-09,False,False,8,sym8,1.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",42
three_bin,GLPK,24,8,960,2875,0,0.0476450070000282,1.275317059000372,366484.8356463561,1.1782291800000166,366484.8356,6705,0,True,optimal,-1.26488336704694e-08,False,False,8,sym8,1.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",59
three_bin,GLPK,24,8,960,2880,0,0.0660221089997321,55.55007934300011,363430.6947135646,44.748050825000064,363430.6947,198053,0,True,optimal,-3.7323751355536285e-09,False,False,8,sym8,0.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",42
three_bin,GLPK,24,8,960,2880,0,0.0529245360003187,18.594208053999864,371993.7612551191,9.903842151999925,371993.7613,40319,0,True,optimal,1.206497619283276e-08,False,False,8,sym8,0.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",59
three_bin,GLPK,12,6,360,1039,0,0.0190658260003147,0.1786505879999822,147221.42022576398,0.1643498060002457,147221.4202,2134,0,True,optimal,-1.7500164890299553e-08,False,False,12,diverse,1.0,21.0,12,"[(3, 'baseload_med'), (6, 'midmerit'), (3, 'peaker')]",42
three_bin,GLPK,12,6,360,1038,0,0.0198261159998764,0.1934362749998399,132812.15018055702,0.1524447970000437,132812.1502,1614,0,True,optimal,1.4639465237423504e-08,False,False,12,diverse,1.0,21.0,12,"[(3, 'baseload_med'), (6, 'midmerit'), (3, 'peaker')]",59
three_bin,GLPK,12,6,360,1044,0,0.0198454410001431,0.1992079609999564,138645.95669092226,0.1849188910000521,138645.9567,2091,0,True,optimal,6.547429777250297e-09,False,False,12,diverse,0.0,21.0,12,"[(3, 'baseload_med'), (6, 'midmerit'), (3, 'peaker')]",42
three_bin,GLPK,12,6,360,1044,0,0.0192306729995834,0.6229021069998453,134371.01911701605,0.6036746600002516,134371.0191,5057,0,True,optimal,-1.2663481571858618e-08,False,False,12,diverse,0.0,21.0,12,"[(3, 'baseload_med'), (6, 'midmerit'), (3, 'peaker')]",59
three_bin,GLPK,12,6,360,1031,0,0.0203474639997693,0.3117169319998538,148730.55355960468,0.2823433619996649,148730.5536,3091,0,True,optimal,2.7160075648722692e-08,False,False,12,sym4,1.0,18.0,12,"[(4, 'baseload_med'), (4, 'midmerit'), (4, 'peaker')]",42
three_bin,GLPK,12,6,360,1027,0,0.0189364100001512,0.108042284000021,137361.5834611395,0.0944653619999371,137361.5835,1046,0,True,optimal,2.8290669252191413e-08,False,False,12,sym4,1.0,18.0,12,"[(4, 'baseload_med'), (4, 'midmerit'), (4, 'peaker')]",59
three_bin,GLPK,12,6,360,1036,0,0.0187524489997485,0.3315794199997981,141876.448053324,0.3151441950003573,141876.4481,3939,0,True,optimal,3.2899044426210233e-08,False,False,12,sym4,0.0,18.0,12,"[(4, 'baseload_med'), (4, 'midmerit'), (4, 'peaker')]",42
three_bin,GLPK,12,6,360,1036,0,0.0188744600000063,0.6821070300002248,133563.90991491533,0.6093336139997518,133563.9099,6793,0,True,optimal,-1.1167189378064236e-08,False,False,12,sym4,0.0,18.0,12,"[(4, 'baseload_med'), (4, 'midmerit'), (4, 'peaker')]",59
three_bin,GLPK,24,6,720,2059,0,0.0357370570000057,0.6000190469999325,272795.187509784,0.5916615999999522,272795.1875,3890,0,True,optimal,-3.586576947081557e-09,False,False,12,sym8,1.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",42
three_bin,GLPK,24,6,720,2043,0,0.0389215109998986,0.6255256459999146,280088.8855370753,0.5642980859997806,280088.8855,4003,0,True,optimal,-1.3236980590996051e-08,False,False,12,sym8,1.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",59
three_bin,GLPK,24,6,720,2060,0,0.0373511930001768,5.62164125299978,272598.77777499566,5.108566096999766,272598.7778,26334,0,True,optimal,9.17257344587372e-09,False,False,12,sym8,0.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",42
three_bin,GLPK,24,6,720,2060,0,0.0348329710000143,15.719913687999906,281791.9934349931,12.932581389000006,281791.9934,64005,0,True,optimal,-1.2418062891979812e-08,False,False,12,sym8,0.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",59
three_bin,GLPK,12,8,480,1457,0,0.0236901759999454,0.2615712800002256,191849.39439486768,0.238386236000224,191849.3944,2357,0,True,optimal,2.675179141400878e-09,False,False,12,diverse,1.0,21.0,12,"[(3, 'baseload_med'), (6, 'midmerit'), (3, 'peaker')]",42
three_bin,GLPK,12,8,480,1453,0,0.0237654790003034,0.4434459730000526,169426.64937052302,0.4112857879999865,169426.6494,3275,0,True,optimal,1.7398072128208827e-08,False,False,12,diverse,1.0,21.0,12,"[(3, 'baseload_med'), (6, 'midmerit'), (3, 'peaker')]",59
three_bin,GLPK,12,8,480,1456,0,0.0237791790000301,1.57433470199976,180455.81906945063,1.5384425999995983,180455.8191,11051,0,True,optimal,1.69289966154706e-08,False,False,12,diverse,0.0,21.0,12,"[(3, 'baseload_med'), (6, 'midmerit'), (3, 'peaker')]",42
three_bin,GLPK,12,8,480,1456,0,0.0239836900000227,0.556959119000112,172732.7942403828,0.4974677949999204,172732.7942,4159,0,True,optimal,-2.3378760997080652e-08,False,False,12,diverse,0.0,21.0,12,"[(3, 'baseload_med'), (6, 'midmerit'), (3, 'peaker')]",59
three_bin,GLPK,12,8,480,1447,0,0.023915321000004,0.9715475660000266,194207.1609373415,0.9557787210001152,194207.1609,8689,0,True,optimal,-1.9227676248038853e-08,False,False,12,sym4,1.0,18.0,12,"[(4, 'baseload_med'), (4, 'midmerit'), (4, 'peaker')]",42
three_bin,GLPK,12,8,480,1439,0,0.0236649329999636,0.3799214870000469,176468.4141630299,0.3495110179997027,176543.6907,2979,0,True,optimal,0.0426390411753798,False,False,12,sym4,1.0,18.0,12,"[(4, 'baseload_med'), (4, 'midmerit'), (4, 'peaker')]",59
three_bin,GLPK,12,8,480,1448,0,0.024039926000114,2.0163008019999324,184615.86688385688,1.9169182189998537,184615.8669,16452,0,True,optimal,8.744176936591526e-09,False,False,12,sym4,0.0,18.0,12,"[(4, 'baseload_med'), (4, 'midmerit'), (4, 'peaker')]",42
three_bin,GLPK,12,8,480,1448,0,0.0247928089997913,0.5207546149999871,177469.13486195885,0.4981621590000031,177469.1349,3940,0,True,optimal,2.1435361788484897e-08,False,False,12,sym4,0.0,18.0,12,"[(4, 'baseload_med'), (4, 'midmerit'), (4, 'peaker')]",59
three_bin,GLPK,24,8,960,2899,0,0.0768705159998717,1.9187546059997656,367041.8219291607,1.861032110999986,367041.8219,11629,0,True,optimal,-7.944789285998845e-09,False,False,12,sym8,1.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",42
three_bin,GLPK,24,8,960,2875,0,0.0480259629998727,1.2446610359997976,366484.8356463561,1.1691258599998946,366484.8356,6705,0,True,optimal,-1.26488336704694e-08,False,False,12,sym8,1.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",59
three_bin,GLPK,24,8,960,2880,0,0.08139964299999747,45.327371054,363430.6947135646,35.132039075999984,363430.6947,198053,0,True,optimal,-3.7323751355536285e-09,False,False,12,sym8,0.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",42
three_bin,GLPK,24,8,960,2880,0,0.039454053000014255,14.736952376000005,371993.76125511905,7.678734038000016,371993.7613,40319,0,True,optimal,1.2064976192832761e-08,False,False,12,sym8,0.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",59
