solver,pyomo_write_time_s,mip_total_time_s,mip_obj,mip_dual_bound,mip_gap,mip_node_count,mip_simplex_iters,status,converged,n_var,n_constr,presolve,heuristics_effort,detect_symmetry,network,n_bus,n_branch,n_gen,horizon,seed,build_time_s,instance_id,error
scip,0.02024299999999979,0.03421162500000019,24549.99925518036,24549.99925518036,0.0,1,128,optimal,True,,,on,0.05,True,case30,30,41,6,6,42,0.043382542000000246,case30_T6_s42,
highs,0.016199459000000083,0.12006712499999983,24549.999255201306,24539.846037950683,0.0004135730166456933,1,383,Optimal,True,688.0,613.0,on,0.05,True,case30,30,41,6,6,42,0.04482179200000003,case30_T6_s42,
highs,0.11857362500000024,0.06884333399999987,303405.75578545436,303204.58970323636,0.0006630265852973726,1,625,Optimal,True,4623.0,4474.0,on,0.05,True,ieee118,118,186,54,6,42,0.2728991249999999,ieee118_T6_s42,
scip,0.11542695800000002,0.27248595799999986,303405.7557878494,303204.5897054672,0.0006634664817495499,1,722,gaplimit,False,,,on,0.05,True,ieee118,118,186,54,6,42,0.2840573329999998,ieee118_T6_s42,
highs,0.2009621250000002,0.5062555840000003,159446925.07123554,159446765.77787903,9.990368672011056e-07,1,3945,Optimal,True,6903.0,6372.0,on,0.05,True,case300,300,411,69,6,42,0.3467156670000002,case300_T6_s42,
scip,0.18019991699999993,0.891076209,159446925.0712433,159446799.37793732,7.883087428510057e-07,1,5298,gaplimit,False,,,on,0.05,True,case300,300,411,69,6,42,0.3485920829999998,case300_T6_s42,
highs,0.17078641699999997,3.55074625,91896.77195317057,91805.69836520209,0.0009910422970557638,41,21396,Optimal,True,8791.0,9515.0,on,0.05,True,rts_gmlc,73,120,156,6,42,0.23262079200000008,rts_gmlc_T6_s42,
scip,0.1712337500000003,52.221317666999994,91896.77194976807,91805.8202791214,0.0009906961276544668,8597,279419,gaplimit,False,,,on,0.05,True,rts_gmlc,73,120,156,6,42,0.234238167,rts_gmlc_T6_s42,
