n_gen,horizon,n_var,n_constr,n_var_binary,build_time_s,lp_relax_time_s,lp_relax_obj,lp_relax_iters,mip_total_time_s,mip_obj,mip_dual_bound,mip_gap,mip_node_count,mip_simplex_iters,converged,status,root_lp_gap_pct,presolve,heuristics_effort,detect_symmetry,F1,F2,F3,F4,feature_label,instance_set,instance_id,N_g,k_identical,seed,error
24,12,3168,3540,1728,0.024608375000000016,0.013157459000000038,190649.19799794597,568,0.05951212500000003,221228.00396372163,221228.00396372163,0.0,1,418,True,Optimal,13.822303423571167,on,0.05,True,1,1,1,1,1111,synth,Ng24_k1_T12_s42,24,1,42,
24,12,1152,2328,864,0.012678582999999993,0.011266499999999985,568654.0510250094,549,0.159228792,578296.3357889527,578252.2350585693,7.625974375753442e-05,1,997,True,Optimal,1.667360515225918,on,0.05,True,0,0,0,0,0000,synth,Ng24_k1_T12_s42,24,1,42,
24,12,3168,3516,1728,0.026777207999999997,0.014442625000000042,178765.13789960835,633,0.06168758299999999,207947.39769158483,207947.39769158483,0.0,1,430,True,Optimal,14.033481599638897,on,0.05,True,1,1,1,1,1111,synth,Ng24_k8_T12_s42,24,8,42,
24,12,1152,2328,864,0.012352625000000006,0.010130707999999988,561533.2785068332,568,0.577836625,585247.0681446791,585107.0015774575,0.00023932895155793886,1,2969,True,Optimal,4.05192796830612,on,0.05,True,0,0,0,0,0000,synth,Ng24_k8_T12_s42,24,8,42,
