formulation,n_gen,horizon,n_var,n_constr,n_var_binary,build_time_s,lp_relax_time_s,lp_relax_obj,lp_relax_iters,mip_total_time_s,mip_obj,mip_dual_bound,mip_gap,mip_node_count,mip_simplex_iters,converged,status,root_lp_gap_pct,presolve,heuristics_effort,detect_symmetry,instance_id,N_g,k_identical,seed,config_label,solver,error
three_bin,24,12,1152,2328,864,0.014345792000000024,0.010853665999999984,568654.0510250094,549,0.13359691700000004,578296.3357889527,578252.2350585693,7.625974375753442e-05,1,997,True,Optimal,1.667360515225918,on,0.05,True,Ng24_k1_T12_s42,24,1,42,default,highs,
three_bin,24,12,1152,2328,864,0.012176207999999966,0.012787207999999994,567455.0596995386,650,0.17873683399999996,569428.349872347,569282.148564343,0.0002567510171152368,1,1245,True,Optimal,0.34653880040407287,on,0.05,True,Ng24_k4_T12_s42,24,4,42,default,highs,
three_bin,24,12,1152,2328,864,0.014530125000000005,0.012392332999999978,561304.7901617184,587,0.420233334,576742.4154612097,576195.2690140123,0.0009486842523275756,1,3089,True,Optimal,2.676693249125117,on,0.05,True,Ng24_k2_T12_s42,24,2,42,default,highs,
