formulation,n_gen,horizon,n_var,n_constr,n_var_binary,build_time_s,lp_relax_time_s,lp_relax_obj,lp_relax_iters,mip_total_time_s,mip_obj,mip_dual_bound,mip_gap,mip_node_count,mip_simplex_iters,converged,status,root_lp_gap_pct,presolve,heuristics_effort,detect_symmetry,instance_id,N_g,k_identical,seed,config_label,solver,error
three_bin,24,24,2304,4656.0,1728,0.06191929199999996,0.03471845799999995,1498798.3162025802,1158,0.006717541999999965,inf,-inf,inf,0,0,False,Infeasible,,on,0.05,True,Ng24_k4_T24_s44,24,4,44,default,highs,
three_bin,24,24,2304,4656.0,1728,0.029204500000000022,0.03573770899999995,1539074.788262915,1083,0.750224459,1632924.860321495,1632741.5196819352,0.00011227745012326426,1,2500,True,Optimal,5.747360110623976,on,0.05,True,Ng24_k1_T24_s43,24,1,43,default,highs,
three_bin,24,24,2304,4656.0,1728,0.047178874999999953,0.044096417,1524687.8486353303,1150,1.104178708,1618211.7331967142,1617963.3687989332,0.0001534807792366797,1,2930,True,Optimal,5.779459056116907,on,0.05,True,Ng24_k4_T24_s43,24,4,43,default,highs,
three_bin,24,24,2304,4656.0,1728,0.07100566600000002,0.052882000000000096,1527245.7810709872,1315,0.14486200000000005,1568484.2725793652,1567001.2386881341,0.000945520409198756,1,1241,True,Optimal,2.629193816560331,on,0.05,True,Ng24_k8_T24_s43,24,8,43,default,highs,
three_bin,24,24,2304,4656.0,1728,0.04108970799999989,0.054805167000000043,1486273.8250964722,1593,0.8605405410000002,1546416.941841578,1545769.8530336975,0.00041844394637195867,1,3204,True,Optimal,3.8891915315854884,on,0.05,True,Ng24_k8_T24_s42,24,8,42,default,highs,
three_bin,24,24,2304,4656.0,1728,0.03260583300000003,0.061258374999999976,1478481.1471630519,1313,1.8684091660000002,1506184.9957532093,1505901.9442523522,0.0001879261190726404,1,3949,True,Optimal,1.8393390365904811,on,0.05,True,Ng24_k4_T24_s45,24,4,45,default,highs,
three_bin,24,24,2304,4656.0,1728,0.047927374999999994,0.038253833000000015,1480267.6121949626,1130,1.9550151660000001,1503283.4032190486,1502925.882440581,0.00023782659856556022,1,4293,True,Optimal,1.5310347320273285,on,0.05,True,Ng24_k1_T24_s45,24,1,45,default,highs,
three_bin,24,24,2304,4656.0,1728,0.04084749999999998,0.050880499999999995,1492082.3691638436,1463,1.9542521249999998,1542153.8769154667,1541223.6391227737,0.0006032068567331881,1,3414,True,Optimal,3.246855485768613,on,0.05,True,Ng24_k4_T24_s42,24,4,42,default,highs,
three_bin,24,24,2304,4656.0,1728,0.04680637500000001,0.03629474999999999,1452874.8256296848,1162,2.014394791,1455715.9965464778,1455181.6622353022,0.00036705944871339856,1,3316,True,Optimal,0.19517343517096017,on,0.05,True,Ng24_k1_T24_s46,24,1,46,default,highs,
three_bin,24,24,2304,4656.0,1728,0.04990254100000002,0.06587170799999997,1450093.9609122414,1198,2.100728709,1454266.230863255,1453681.8643774346,0.0004018290966389997,1,3686,True,Optimal,0.28689863399612525,on,0.05,True,Ng24_k4_T24_s46,24,4,46,default,highs,
